date,Model_name,MAE,Batch_size,Resolution,Dropout,lr,No. training,No. testing,In size,angular_pixel_size_input_image,Training Epoch,Engine,Loss Function,More,para,MAE inc,MAE PA
2024-02-14_20-16-58,EfficientNet-B1,1.204143322,256,240,0.2,0.001,21614,5404,,0.00019,10,PyTorch,mse,,size,,
2024-02-14_20-52-22,EfficientNet-B1,0.500986814,256,240,0.2,0.001,21614,5404,,0.00019,50,PyTorch,mse,,size,,
2024-02-14_22-45-19,EfficientNet-B1,2.430082892,256,240,0.2,0.001,21614,5404,,0.00019,1,PyTorch,mse,,size,,
2024-02-14_23-27-43,EfficientNet-B1,3.080264447,256,240,0.2,0.001,21614,5404,,0.00011,1,PyTorch,mse,,size,,
2024-02-14_23-29-07,EfficientNet-B1,3.119861363,256,240,0.2,0.001,21614,5404,,0.00012,1,PyTorch,mse,,size,,
2024-02-14_23-31-46,EfficientNet-B1,2.264286362,256,240,0.2,0.001,21614,5404,,0.00014,1,PyTorch,mse,,size,,
2024-02-14_23-33-03,EfficientNet-B1,2.674935201,256,240,0.2,0.001,21614,5404,,0.00016,1,PyTorch,mse,,size,,
2024-02-14_23-35-41,EfficientNet-B1,1.539368229,256,240,0.2,0.001,21614,5404,,0.00018,1,PyTorch,mse,,size,,
2024-02-14_23-37-00,EfficientNet-B1,1.885518463,256,240,0.2,0.001,21614,5404,,0.00019,1,PyTorch,mse,,size,,
2024-02-15_00-09-45,EfficientNet-B1,0.772853428,256,240,0.2,0.001,21614,5404,,0.00011,100,PyTorch,mse,,size,,
2024-02-15_01-42-34,EfficientNet-B1,0.613473916,256,240,0.2,0.001,21614,5404,,0.00012,100,PyTorch,mse,,size,,
2024-02-15_03-11-34,EfficientNet-B1,0.743500479,256,240,0.2,0.001,21614,5404,,0.00013,100,PyTorch,mse,,size,,
2024-02-15_09-50-20,EfficientNet-B1,0.68016581,256,240,0.2,0.001,21614,5404,,0.00014,100,PyTorch,mse,,size,,
2024-02-15_11-28-49,EfficientNet-B1,0.749802246,256,240,0.2,0.001,21614,5404,,0.00016,100,PyTorch,mse,,size,,
2024-02-15_13-02-25,EfficientNet-B1,0.57020631,256,240,0.2,0.001,21614,5404,,0.00017,100,PyTorch,mse,,size,,
2024-02-15_15-48-11,EfficientNet-B1,0.672562142,256,240,0.2,0.001,21614,5404,,0.00018,50,PyTorch,mse,,size,,
2024-02-15_16-48-24,EfficientNet-B1,0.588268296,256,240,0.2,0.001,21614,5404,,0.00019,50,PyTorch,mse,,size,,
2024-02-15_17-46-11,EfficientNet-B1,1.976219804,256,240,0.2,0.001,21614,5404,,5.00E-05,50,PyTorch,mse,,size,,
2024-02-15_18-44-28,EfficientNet-B1,2.020343467,256,240,0.2,0.001,21614,5404,,6.00E-05,50,PyTorch,mse,,size,,
2024-02-15_19-42-20,EfficientNet-B1,1.363646559,256,240,0.2,0.001,21614,5404,,7.00E-05,50,PyTorch,mse,,size,,
2024-02-15_20-41-02,EfficientNet-B1,1.409363968,256,240,0.2,0.001,21614,5404,,8.00E-05,50,PyTorch,mse,,size,,
2024-02-15_21-43-59,EfficientNet-B1,1.291484555,256,240,0.2,0.001,21614,5404,,9.00E-05,50,PyTorch,mse,,size,,
2024-02-14_20-52-22,EfficientNet-B1,0.500986814,256,240,0.2,0.001,21614,5404,,0.00019,50,PyTorch,mse,,size,,
2024-02-15_00-09-45,EfficientNet-B1,0.772853428,256,240,0.2,0.001,21614,5404,,0.00011,100,PyTorch,mse,,size,,
2024-02-15_01-42-34,EfficientNet-B1,0.613473916,256,240,0.2,0.001,21614,5404,,0.00012,100,PyTorch,mse,,size,,
2024-02-15_03-11-34,EfficientNet-B1,0.743500479,256,240,0.2,0.001,21614,5404,,0.00013,100,PyTorch,mse,,size,,
2024-02-15_09-50-20,EfficientNet-B1,0.68016581,256,240,0.2,0.001,21614,5404,,0.00014,100,PyTorch,mse,,size,,
2024-02-15_11-28-49,EfficientNet-B1,0.749802246,256,240,0.2,0.001,21614,5404,,0.00016,100,PyTorch,mse,,size,,
2024-02-15_13-02-25,EfficientNet-B1,0.57020631,256,240,0.2,0.001,21614,5404,,0.00017,100,PyTorch,mse,,size,,
2024-02-15_15-48-11,EfficientNet-B1,0.672562142,256,240,0.2,0.001,21614,5404,,0.00018,50,PyTorch,mse,,size,,
2024-02-15_16-48-24,EfficientNet-B1,0.588268296,256,240,0.2,0.001,21614,5404,,0.00019,50,PyTorch,mse,,size,,
2024-02-15_17-46-11,EfficientNet-B1,1.976219804,256,240,0.2,0.001,21614,5404,,5.00E-05,50,PyTorch,mse,,size,,
2024-02-15_18-44-28,EfficientNet-B1,2.020343467,256,240,0.2,0.001,21614,5404,,6.00E-05,50,PyTorch,mse,,size,,
2024-02-15_19-42-20,EfficientNet-B1,1.363646559,256,240,0.2,0.001,21614,5404,,7.00E-05,50,PyTorch,mse,,size,,
